"date","value","series_code","source","extracted_at","series_name","series_description","unit","_loaded_at"
"2020-02-20 03:00:00",4.3867,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-02-21 03:00:00",4.3918,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-02-26 03:00:00",4.4353,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-02-27 03:00:00",4.4758,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-02-28 03:00:00",4.4981,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-01 03:00:00",319.336156363636,IFS12_SOJAGP12,IPEA,"2025-12-31 17:16:04",soja_internacional,Soja em grão - cotação internacional,US$/ton,2026-01-01 21:22:55.024
"2020-03-02 03:00:00",4.494,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-03 03:00:00",4.4877,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-04 03:00:00",4.5252,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-05 03:00:00",4.6201,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-06 03:00:00",4.6453,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-09 03:00:00",4.7373,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-10 03:00:00",4.6687,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-11 03:00:00",4.6732,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-12 03:00:00",4.8825,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-13 03:00:00",4.7355,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-16 03:00:00",4.9464,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-17 03:00:00",5.0489,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-03-18 03:00:00",5.1101,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
